product,price,seller,city,quantity,rating
BASO ACI ALA SAJODO SNACK,Rp22.500,tokopediautsmanbinaffan,Bogor,100+ terjual,4.9
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR - Keong Warna,Rp14.500,jajanangarut19,Jakarta Selatan,10rb+ terjual,4.9
Kylafood Seblak Original,Rp15.750,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250+ terjual,4.9
seblak instan/seblaku/Sambal matah/seblak Soto/seblak baso/seblak ORI,Rp7.500,the Dhecip,Tangerang Selatan,10rb+ terjual,4.8
"KERUPUK SEBLAK MENTAH ANEKA WARNA - Matahari, 500 gram",Rp11.500,Brother Meat Shop,Depok,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,hikmah berkah jaya,Jakarta Barat,500+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,cemilan ti lembur,Bandung,1rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Anggris store,Kab. Bogor,40+ terjual,5.0
seblak instant sajodo snak,Rp19.000,fahirastores,Kab. Bandung Barat,80+ terjual,4.8
seblak kering rafael pedas daun jeruk / kerupuk seblak mawar 250 gram,Rp13.750,aghniya,Tangerang Selatan,100+ terjual,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.900,global cookware1,Jakarta Barat,500+ terjual,4.8
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,Rp29.000,Brother Meat Shop,Depok,750+ terjual,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,DUO BOCIL SNACK,Depok,500+ terjual,5.0
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp11.000,Markas Makaroni,Kab. Bekasi,250+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Markas Makaroni,Kab. Bekasi,100+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100+ terjual,4.9
Krupuk seblak mawar rafael pedas 250gram,Rp12.500,the Dhecip,Tangerang Selatan,10rb+ terjual,4.8
Krupuk seblak mawar rafael pedas 500gr,Rp23.500,Brother Meat Shop,Depok,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Baso Aci Ayang,Kab. Garut,500+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,Lidigeli,Kab. Garut,3rb+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,RIKI STORE 97,Kab. Bogor,500+ terjual,4.8
