product,price,seller,city,quantity,rating
Seblak / Paket Seblak Bumbu Komplit Pedas Ekonomis,3479.0,Bocikakang,Jakarta Selatan,50,5.0
11 Bungkus Seblak Mamang Paket Reseller,55000.0,Kylafood,Bandung,100,4.9
Baso Aci Ala Sajodo Snack,22500.0,Tokopediautsmanbinaffan,Bogor,100,4.9
Kerupuk Mentah Kerupuk Seblak Mentah 500 Gr - Keong Warna,14500.0,Jajanangarut19,Jakarta Selatan,10000,4.9
Kylafood Seblak Original,15750.0,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250,4.9
Seblak Instan/Seblaku/Sambal Matah/Seblak Soto/Seblak Baso/Seblak Ori,7500.0,The Dhecip,Tangerang Selatan,10000,4.8
"Kerupuk Seblak Mentah Aneka Warna - Matahari, 500 Gram",11500.0,Brother Meat Shop,Depok,3000,4.9
Seblak Instant Termurah,4450.0,Hikmah Berkah Jaya,Jakarta Barat,500,5.0
Seblak Instan Pedas Home Made,3500.0,Cemilan Ti Lembur,Bandung,1000,4.8
"Seblak Rafael, Seblak Coet Instan Halal",25000.0,Anggris Store,Kab. Bogor,40,5.0
Seblak Instant Sajodo Snak,19000.0,Fahirastores,Kab. Bandung Barat,80,4.8
Seblak Kering Rafael Pedas Daun Jeruk / Kerupuk Seblak Mawar 250 Gram,13750.0,Aghniya,Tangerang Selatan,100,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10900.0,Global Cookware1,Jakarta Barat,500,4.8
Siomay Mini Kering 1Kg / Cuanki / Batagor / Seblak / Bakso Aci,29000.0,Brother Meat Shop,Depok,750,4.9
"Seblak Kering Pedas 250 Gr/Seblak Kencur/Kerupuk Seblak,Enak Dan Gurih",9999.0,Duo Bocil Snack,Depok,500,5.0
"Batagor Mini Kering 100 Pcs Toping Baso Aci, Seblak Dan Mie Instan",11000.0,Markas Makaroni,Kab. Bekasi,250,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25000.0,Markas Makaroni,Kab. Bekasi,100,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000.0,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100,4.9
Krupuk Seblak Mawar Rafael Pedas 250Gram,12500.0,The Dhecip,Tangerang Selatan,10000,4.8
Krupuk Seblak Mawar Rafael Pedas 500Gr,23500.0,Brother Meat Shop,Depok,3000,4.9
Seblak Instant Termurah,4450.0,Baso Aci Ayang,Kab. Garut,500,5.0
Seblak Instan Pedas Home Made,3500.0,Lidigeli,Kab. Garut,3000,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25000.0,Riki Store 97,Kab. Bogor,500,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Duo Bocil Snack,Depok,100,4.7
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,19000.0,Ajs(Ale Jaya Snack),Jakarta Utara,250,4.9
